location,category,phone,business_name,website,type,address
Annex,Restaurants,416.901.3332,East of Brunswick,http://fabrestaurants.ca/restaurant/east-of-brunswick,Pub Food,720 Spadina Ave Unit 111
Annex,Restaurants,647.351.3288,Vietnam Lovely Noodle,,Vietnamese,378 Bloor St W
Annex,Fashion,416.463.7678,Common Sort (Bloor),http://commonsort.com,Men's and Women's Vintage,444 Bloor St W
Annex,Restaurants,647.341.3100,Cafe Cancan,https://cafecancan.com,French,89 Harbord St.
Annex,Grocery,416.964.8318,Bloor Superfresh,,Market, 384 Bloor St W
Annex,Fashion,416.538.0998,David Dunkley Fine Millinery,http://daviddunkley.me,Hats,974 Bathurst St.
Annex,Restaurants,416.546.9050,Atlas,http://atlasrestaurant.ca,Moroccan,18 Dupont St
Annex,Design,416.551.3587,Flur,http://flur.ca,Florist,1087 Bathurst St
Annex,Restaurants,416.923.2222,Potbelly Sandwich (Bloor),http://potbelly.ca,Sandwiches,180 Bloor St W
Annex,Restaurants,416.929.7788,Piano Piano,http://pianopianotherestaurant.com,Italian,88 Harbord St.
Annex,Design,647.687.1204,Odds on Barton,http://facebook.com/Odds-on-Barton-1643843799182822,Antique Furniture,29 Barton Ave
Annex,Galleries,416.539.0275,Peter Triantos Art Galleries,http://petertriantos.com,Contemporary Art,1042 Bathurst St
Annex,Restaurants,,Rancho Relaxo (Lee's Palace),http://facebook.com/ranchorelaxotogo,Mexican,529 Bloor Street
Annex,Restaurants,,Eva's Original Chimneys,http://originalchimneys.com,Ice Cream,454 Bloor Street West
Annex,Design,416.928.5959,Kroft,http://kroft.co,Contemporary Furniture,160 Pears Ave #312
Annex,Bookstores,416.533.9168,The Beguiling,http://beguiling.com,Comics,319 College Street
Annex,Fashion,416.792.2273,Glass Monocle,http://glassmonocle.ca,Eyewear,590 Bloor St W
Annex,Restaurants,416.519.7150,Rawlicious (Bathurst),http://rawlicious.ca/canada,Vegetarian,785 Bathurst Street
Annex,Bars,416.964.2441,Brewhaha,http://brewhahabar.ca,Bar,39 Prince Arthur Ave
Annex,Restaurants,416.856.8424,Thai Mango,http://thaimango.ca,Thai,641 Dupont St
Annex,Restaurants,416.901.7825,The Puck Sports Bar and Grill,http://thepuckonbloor.ca,Pub Food,362 Bloor St W
Annex,Grocery,416.929.2424,MoRoCo Chocolat,http://morocochocolat.com,Chocolate,215 Madison Avenue
Annex,Restaurants,647.748.2338,Crafty Coyote,http://craftycoyote.ca,Pub Food,511 Bloor St W
Annex,Restaurants,647.347.7747,Her Father's Cider,http://herfathers.ca,Pub Food,119 Harbord St.
Annex,Restaurants,416.972.1674,Little Piggy's,http://littlepiggystoronto.com/2,Korean,469 Bloor St W
Annex,Restaurants,647.347.3695,The Dirty Bird (Annex),https://thedirtybird.ca/site,Sandwiches,527 Bloor St. W.
Annex,Cafes,416.566.4999,Haute Coffee,http://hautecoffee.ca,,153 Dupont St
Annex,Restaurants,647.794.7115,El Pocho,http://elpocho.ca,Mexican,2 Follis Ave.
Annex,Fashion,416.516.6237,Glassbox Barbershop,http://glassboxbarbershop.com,Barber Shops,338 Harbord St.
Annex,Restaurants,416.925.6673,Nord Bistro,http://nordbistro.ca,French,406 Dupont St
Annex,Restaurants,416.840.2233,Avocado Sandwich,http://avocadosandwich.ca,Sandwiches,284 Dupont Street
Annex,Galleries,416.978.8398,Justina M. Barnicke Gallery,http://jmbgallery.ca/exhibitions.html,Contemporary Art,7 Hart House Circle
Annex,Restaurants,647.748.7199,Flock (Harbord Street),http://eatflock.com,Churrasqueira,97 Harbord Street
Annex,Services,416.538.2453,Spin Shack,http://batemansbikeco.com/about/spinning-at-the-shack-pg195.htm,Bike Shops,960 Bathurst Street
Annex,Restaurants,416.961.7702,Sushi Maido,,Sushi,362 Bloor St West
Annex,Cafes,647.520.9219,Volta Espresso,https://facebook.com/VoltaEspresso,,866 Bathurst St.
Annex,Restaurants,416.968.7888,Greek & Co. (Annex),http://itsallgrk.com,Greek,366 Bloor St West
Annex,Fashion,416.533.1010,Upside Apparel,http://upsidestore.com,Men's and Women's Clothing,209 Harbord Street
Annex,Restaurants,647.352.0999,The Fry,http://thefry.ca,Korean,524 Bloor St West
Annex,Restaurants,416.532.7222,Menchella Gourmet Pizza,http://menchellasgourmetpizza.com,Pizza,454 Bloor St West
Annex,Restaurants,416.924.7444,Real Thailand (Bloor),http://realthailand.ca,Thai,570 Bloor St West
Annex,Restaurants, 647.352.3337 ,Bar Begonia,http://barbegonia.com,French,252 Dupont St.
Annex,Restaurants,647.345.8839,Magic Noodle,http://magicnoodle.ca,Asian,93 Harbord St.
Annex,Restaurants,416.532.5675,Apollo Eleven Restaurant,,Diner,1093 Bathurst St.
Annex,Fashion,416.534.9938,Mi Hermano Barbershop,https://mihermano.resurva.com,Barber Shops,293A Harbord St.
Annex,Cafes,,The Coffee Lab,https://facebook.com/The-Coffee-Lab-1551524698414421,,333 Bloor St. W
Annex,Services,416.519.7019,Puedmag Custom Ink,http://tattooshoptoronto.ca,Tattoo Parlours,404 Bloor St W. 3rd Floor
Annex,Cafes,416.479.0277,Creeds Coffee Bar,http://creedscoffeebar.com,,390 Dupont St.
Annex,Bakeries,647.977.3124,AG Macarons (Dupont St.),http://agmacarons.com,French Patisserie,647 Dupont St.
Annex,Restaurants,905.604.4880,Aka Teppan,https://facebook.com/pages/Aka-Teppan-赤板/255157794644190,Japanese,394 Bloor St. West
Annex,Restaurants,416.513.1333,Abokichi,http://abokichi.com,Japanese,258 Dupont St.
Annex,Restaurants,647.345.9292,Za Pizzeria,http://za-pizzeria.com,Pizza,402 Bloor St. W
Annex,Restaurants,416.792.6120,Pig Out BBQ,https://facebook.com/pigoutbbqspadina,Barbecue,650 Spadina Avenue
Annex,Restaurants,416.537.9000,Mr. Tonkatsu,https://facebook.com/mrtonkatsu,Japanese,520 Bloor St. West
Annex,Cafes,,The Common (Annex),,,408 Bloor St. West
Annex,Cafes,416.585.4524,Caffiends,http://caffiendsvictoria.com,,91 Charles St W
Annex,Restaurants,416.923.2604,Flor de Sal,http://flordesalrestaurant.ca,Portuguese,501 Davenport Rd.
Annex,Design,416.533.3203,Are & Be,http://areandbe.com,Flooring,1213 Bathurst St.
Annex,Restaurants,416.585.4521,Ned's Cafe,,Sandwiches,150 Charles Street West
Annex,Restaurants,416.362.1957,a la Carte at the Gardiner Bistro,http://gardinermuseum.on.ca/visit/a-la-carte-at-the-gardiner,Eclectic,111 Queen's Park
Annex,Grocery,647.350.4261,Schmaltz Appetizing,http://schmaltzappetizing.com,Deli,414 Dupont St.
Annex,Restaurants,647.350.8221,Rasa,http://rasabar.ca,Eclectic,196 Robert St.
Annex,Fashion,647.688.0338,Bode Spa,http://bodespa.com,Spa,154 Bedford Rd.
Annex,Restaurants,647.349.7900,The Tiffin Box,,Indian,938 Bathurst St.
Annex,Fashion,416.922.2888,Curl Ambassadors,http://curlambassadors.ca,Hair Salons,159 Harbord St.
Annex,Restaurants,416.792.9291,Billy's Dumplings,,Chinese,524 Bloor St. W.
Annex,Bookstores,416.944.0962,Caversham Booksellers,http://cavershambooksellers.com,Other,98 Harbord St.
Annex,Fashion,416.593.0811,Atelier Ivaan,http://atelierivaan.com,Jewellery,789 Dupont St.
Annex,Cafes,416.537.5959 ,Bampot Bohemian House of Tea and Board Games,http://bampottea.com,,201 Harbord St.
Annex,Fitness,416.534.0330,Dragonfly Bellydance,http://dragonflydance.ca,Sporting Club,559 Bloor St. W.
Annex,Fashion,647.693.7405,The Ten Spot (Annex),http://the10spot.com,Spa,497 Bloor St. W.
Annex,Design,416.324.8333,Juxtapose,https://facebook.com/juxtaposeannex,"Cards, Paper and Stationery",430 Bloor St. W.
Annex,Fitness,416.901.8483,Vive Fitness,http://vivefitness.com,Gym,807 Bathurst St.
Annex,Fashion,416.792.0251,Fuzz Wax Bar (Annex),http://fuzzwaxbar.com,Spa,488 Bloor St West
Annex,Restaurants,416.925.6305,River Tai Chinese Restaurant,,Chinese,92 Harbord St.
Annex,Bookstores,416.534.2665,Willow Books,http://willowbookstore.com,Used Books,333 Bloor St. W.
Annex,Fitness,416.972.9652,Wu Xing Martial Arts,http://wuxingmartialarts.com,Martial Arts,"374 Dupont St., 2nd floor"
Annex,Restaurants,416.923.0700,The Original Gyro Grill,http://og-grill.com,Greek,4 Walmer Rd.
Annex,Design,416.967.9797,Things Japanese,http://thingsjapanese.ca,Design Accessories,128 Harbord St.
Annex,Restaurants,778.938.7077,El Furniture Warehouse,https://facebook.com/ElFurnitureTO,Pub Food,410 Bloor St.
Annex,Fitness,647.352.4568,Black Devil MMA,http://blackdevilmma.com,Martial Arts,570 Bloor St. West
Annex,Services,647.850.5977,Tattoo People,https://facebook.com/ta2people,Tattoo Parlours,1077 Bathurst St.
Annex,Bakeries,416.792.7994,Almond Butterfly,http://almondbutterfly.com,Gluten Free,100 Harbord St. 
Annex,Restaurants,416.477.2361,Yasu,http://yasu-sushibar.com,Sushi,81 Harbord St.
Annex,Restaurants,416.929.3911,La Libre,http://lalibre.ca,Mexican,14 Dupont St.
Annex,Fashion,647.340.6448,ManCave Barbers Lounge,http://mancavebarbers.ca,Barber Shops,476 Bloor St. West
Annex,Bookstores,416.322.0777,Contact Editions,http://contacteditions.ca,Used Books,491 Davenport Rd.
